ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C4090,10.0,,,
C4091,10.0,,,
C4092,10.0,,,
C410,10.0,,,
C411,10.0,,,
C412,10.0,,,
C413,10.0,,,
C414,10.0,,,
C419,10.0,,,
C430,12.0,,,
C4310,12.0,,,
C43111,12.0,,,
C43112,12.0,,,
C43121,12.0,,,
C43122,12.0,,,
C4320,12.0,,,
C4321,12.0,,,
C4322,12.0,,,
C4330,12.0,,,
C4331,12.0,,,
C4339,12.0,,,
C434,12.0,,,
C4351,12.0,,,
C4352,12.0,,,
C4359,12.0,,,
C4360,12.0,,,
C4361,12.0,,,
C4362,12.0,,,
C4370,12.0,,,
C4371,12.0,,,
C4372,12.0,,,
C438,12.0,,,
C439,12.0,,,
C450,9.0,,,
C451,9.0,,,
C452,9.0,,,
C457,9.0,,,
C459,9.0,,,
C460,10.0,,,
C461,10.0,,,
C462,10.0,,,
C463,10.0,,,
C464,10.0,,,
C4650,10.0,,,
C4651,10.0,,,
C4652,10.0,,,
C467,10.0,,,
C469,10.0,,,
C470,10.0,,,
C4710,10.0,,,
C4711,10.0,,,
C4712,10.0,,,
C4720,10.0,,,
C4721,10.0,,,
C4722,10.0,,,
C473,10.0,,,
C474,10.0,,,
C475,10.0,,,
C476,10.0,,,
C478,10.0,,,
C479,10.0,,,
C480,9.0,,,
C481,9.0,,,
C482,9.0,,,
C488,9.0,,,
C490,10.0,,,
C4910,10.0,,,
C4911,10.0,,,
C4912,10.0,,,
C4920,10.0,,,
C4921,10.0,,,
C4922,10.0,,,
C493,10.0,,,
C494,10.0,,,
C495,10.0,,,
C496,10.0,,,
C498,10.0,,,
C499,10.0,,,
C49A0,10.0,,,
C49A1,10.0,,,
C49A2,10.0,,,
C49A3,10.0,,,
C49A4,10.0,,,
C49A5,10.0,,,
C49A9,10.0,,,
C4A0,12.0,,,
C4A10,12.0,,,
C4A111,12.0,,,
C4A112,12.0,,,
C4A121,12.0,,,
C4A122,12.0,,,
C4A20,12.0,,,
C4A21,12.0,,,
C4A22,12.0,,,
C4A30,12.0,,,
C4A31,12.0,,,
C4A39,12.0,,,
C4A4,12.0,,,
C4A51,12.0,,,
C4A52,12.0,,,
C4A59,12.0,,,
C4A60,12.0,,,
C4A61,12.0,,,
C4A62,12.0,,,
C4A70,12.0,,,
C4A71,12.0,,,
C4A72,12.0,,,
C4A8,12.0,,,
C4A9,12.0,,,
C50011,12.0,,age >= 50,
C50011,12.0,,age < 50,
C50012,12.0,,age >= 50,
C50012,12.0,,age < 50,
C50019,12.0,,age >= 50,
C50019,12.0,,age < 50,
C50021,12.0,,age >= 50,
C50021,12.0,,age < 50,
C50022,12.0,,age >= 50,
C50022,12.0,,age < 50,
C50029,12.0,,age >= 50,
