,,,,,,,,MSAG  Services,,,,,,,Fund Code,FSX0,SSX0,SBTP,FMDC,FDUA,SMDC,SDUA,SUNI,SGMB,SCFD,SEMR,FXAO,FMCO,FSX0,SSX0,SBTP,FMDC,FDUA,SMDC,SDUA,SUNI,SGMB,SCFD,SEMR,FXAO,FMCO,,,,
,RTC,,,W7330,GT,,,,,,,Level 3.3 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,UB,,,,,,,Level 3.3 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,GA,,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,GA,GT,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,GA,UB,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7330,HG,,,,,,,Level 3.3 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,HG,GA,,,,,,Level 3.3 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7350,,,,,,,,Level 3.5 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,GT,,,,,,,Level 3.5 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,UB,,,,,,,Level 3.5 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,GA,,,,,,,Level 3.5 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7350,HG,,,,,,,Level 3.5 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,HG,GA,,,,,,Level 3.5 Daily Billing,GAM,,"54, 55",No,No,No,No,No,No,No,No,Yes,No,No,No,No,N/C,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Yes,N/C,N/C,N/C,N/C,Carelon BH,,X,
,RTC,,,W7370,,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,GT,,,,,,,Level 3.7 Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,UB,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,HG,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7370,SC,,,,,,,Level 3.7 Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,GT,,,,,,,Level 3.7WM Daily Billing - Telehealth,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,UB,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,HG,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,SC,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7375,51,,,,,,,Level 3.7WM Daily Billing,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
Residential Services - WC/CP,RTC,,,W7310,CP,,,,,,,Level 3.1 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,Yes,Carelon BH,,X,
,RTC,,,W7310,HG,CP,,,,,,Level 3.1 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,Yes,Carelon BH,,X,
,RTC,,,W7310,WC,,,,,,,Level 3.1 Daily Billing -Women and Children,SUD,,"54, 55",No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,Yes,Carelon BH,,X,
,RTC,,,W7310,HG,WC,,,,,,Level 3.1 Daily Billing -Women and Children,SUD,,"54, 55",No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,Yes,Carelon BH,,X,
,RTC,,,W7330,WC,,,,,,,Level 3.3 Daily Billing -Women and Children,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,WC,GT,,,,,,Level 3.3 Daily Billing -Women and Children,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,WC,UB,,,,,,Level 3.3 Daily Billing -Women and Children,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,HG,WC,,,,,,Level 3.3 Daily Billing -Women and Children,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,RESRB,HG,WC,,,,,,Room and Board - Daily Billing - Women and Children,SUD,,"54, 55",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,RESRB,WC,,,,,,,Room and Board - Daily Billing - Women and Children,SUD,,"54, 55",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,CP,,,,,,,Level 3.5 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,CP,GT,,,,,,Level 3.5 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,CP,UB,,,,,,Level 3.5 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7350,HG,CP,,,,,,Level 3.5 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,CP,,,,,,,Level 3.3 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,CP,GT,,,,,,Level 3.3 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,CP,UB,,,,,,Level 3.3 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,W7330,HG,CP,,,,,,Level 3.3 Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,Yes,Yes,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,RESRB,CP,,,,,,,Room and Board Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
,RTC,,,RESRB,HG,CP,,,,,,Room and Board Daily Billing - (C-APC) Procedure,SUD,,"54, 55",No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,N/C,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,N/C,Yes,Yes,Carelon BH,,X,
Partial Hospitalization,PH1,,,0912,,,,,,,,Partial Hospitalization - Full Day,MH,,"21, 22, 52, 99",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,N/C,N/C,N/C,Yes,No,Yes,No,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,X,,
,PH1,,,0912,,,,,,,,Partial Hospitalization - (Hosp Based),SUD,,"21, 22, 52, 99",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,N/C,N/C,N/C,Yes,No,Yes,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,X,,
,PHP,,,S0201,,,,,,,,Partial Program - Non-Hospital Based,MH,,"11, 21, 22, 52, 53, 99",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,N/C,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,,X,
,PHP,,,S0201,GT,,,,,,,Partial Program - Non-Hospital Based - Telehealth,MH,,"11, 21, 22, 52, 53, 99",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,N/C,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,,X,
,PHP,,,S0201,52,,,,,,,Partial Program - Non-Hospital Based,MH,,"11, 21, 22, 52, 53, 99",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,N/C,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,,X,
,PHP,,,S0201,52,GT,,,,,,Partial Program - Non-Hospital Based,MH,,"11, 21, 22, 52, 53, 99",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,N/C,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,,X,
,PH1,,,0913,,,,,,,,Partial Hospitalization - (Hosp Based),MH/SUD,,"21, 22, 52, 99",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,N/C,N/C,N/C,Yes,No,Yes,N/C,N/C,N/C,N/C,N/C,N/C,N/C,Carelon BH,X,,
Intensive Outpatient,IOP,,,S9480,,,,,,,,"Intensive Outpatient Psych Services, Per Diem (Clinic Model)",MH/GAM,,"11, 22, 53, 99",No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,Yes,N/C,N/C,N/C,Yes,Carelon BH,,X,
,IOP,,,S9480,GT,,,,,,,"Intensive Outpatient Psych Services, Per Diem (Clinic Model) - Telehealth",MH/GAM,,"11, 22, 53, 99",No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,N/C,N/C,Yes,N/C,N/C,N/C,Yes,Carelon BH,,X,
,IO4,,,0905,,,,,,,,Intensive Outpatient Services - Psychiatric,MH,,"11, 22, 99",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,N/C,N/C,N/C,Yes,No,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Yes,Carelon BH,X,,
,IO4,,,0906,,,,,,,,Intensive Outpatient - (Hosp Based),SUD,,"11, 12, 22",No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,N/C,N/C,N/C,Yes,No,Yes,N/C,N/C,N/C,N/C,N/C,N/C,Yes,Carelon BH,X,,
,IOP,,,0949,,,,,,,,IOP - Partial Hospital Model or Partial Program - Non Regulated Space,MH/SUD,,"21, 22, 52",No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,N/C,N/C,N/C,Yes,Yes,Yes,Yes,N/C,N/C,N/C,N/C,N/C,Yes,Carelon BH,X,,
"Other Professional Services for IOP, PHP, CRS",PRF,,,90791,HE,,,,,,,Psychiatric Diagnostic Interview - no medical services,MH/SUD/GAM,,"03, 11, 12, 21, 22, 23, 31, 32, 51, 53, 71, 72",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90792,HE,,,,,,,Psychiatric Diagnostic Interview--medical services,MH/SUD/GAM,,"03, 11, 12, 21, 22, 23, 31, 32, 51, 53, 71, 72",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90791,HE,UB,,,,,,Psychiatric Diagnostic Interview - no medical services,MH/SUD/GAM,,"03, 11, 12, 21, 22, 23, 31, 32, 51, 53, 71, 72",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90792,HE,UB,,,,,,Psychiatric Diagnostic Interview--medical services,MH/SUD/GAM,,"03, 11, 12, 21, 22, 23, 31, 32, 51, 53, 71, 72",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90791,HE,GT,,,,,,Psychiatric Diagnostic Interview - no medical services - Telehealth ,MH/SUD/GAM,,"03, 11, 12, 21, 22, 23, 31, 32, 51, 53, 71, 72",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90792,HE,GT,,,,,,Psychiatric Diagnostic Interview--medical services - Telehealth ,MH/SUD/GAM,,"03, 11, 12, 21, 22, 23, 31, 32, 51, 53, 71, 72",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90832,HE,,,,,,,Individual Therapy (30 Minutes) MD Only,MH/SUD/GAM,,"03, 11, 12, 21, 22, 31, 32, 51, 53
(POS 21/51 not cov'd for SUNI fund)",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90832,HE,GT,,,,,,Individual Therapy (30 Minutes) MD Only - Telehealth,MH/SUD/GAM,,"03, 11, 12, 21, 22, 31, 32, 51, 53
(POS 21/51 not cov'd for SUNI fund)",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90832,HE,UB,,,,,,Individual Therapy (30 Minutes) MD Only,MH/SUD/GAM,,"03, 11, 12, 21, 22, 31, 32, 51, 53
(POS 21/51 not cov'd for SUNI fund)",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
,PRF,,,90834,HE,,,,,,,Individual Therapy (45 Minutes) MD Only,MH/SUD/GAM,,"03, 11, 12, 21, 22, 31, 32, 51, 53
(POS 21/51 not cov'd for SUNI fund)",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,N/C,N/C,N/C,No,No,No,No,No,No,N/C,N/C,N/C,N/C,Not required. Check for facility auth on file (YD hold code).,,X,
