ICD10,CC,MCE_AGE_CONDITION
E103491,30.0,
E103492,30.0,
E103493,30.0,
E103499,30.0,
E103511,30.0,
E103512,30.0,
E103513,30.0,
E103519,30.0,
E103521,30.0,
E103522,30.0,
E103523,30.0,
E103529,30.0,
E103531,30.0,
E103532,30.0,
E103533,30.0,
E103539,30.0,
E103541,30.0,
E103542,30.0,
E103543,30.0,
E103549,30.0,
E103551,30.0,
E103552,30.0,
E103553,30.0,
E103559,30.0,
E103591,30.0,
E103592,30.0,
E103593,30.0,
E103599,30.0,
E1036,30.0,
E1037X1,30.0,
E1037X2,30.0,
E1037X3,30.0,
E1037X9,30.0,
E1039,30.0,
E1040,30.0,
E1041,30.0,
E1042,30.0,
E1043,30.0,
E1044,30.0,
E1049,30.0,
E1051,30.0,
E1052,30.0,
E1059,30.0,
E10610,30.0,
E10618,30.0,
E10620,30.0,
E10621,30.0,
E10621,311.0,
E10622,30.0,
E10622,311.0,
E10628,30.0,
E10630,30.0,
E10638,30.0,
E10641,30.0,
E10649,30.0,
E1065,30.0,
E1069,30.0,
E108,30.0,
E109,31.0,
E1100,30.0,
E1101,30.0,
E1110,30.0,
E1111,30.0,
E1121,30.0,
E1122,30.0,
E1129,30.0,
E11311,30.0,
E11319,30.0,
E113211,30.0,
E113212,30.0,
E113213,30.0,
E113219,30.0,
E113291,30.0,
E113292,30.0,
E113293,30.0,
E113299,30.0,
E113311,30.0,
E113312,30.0,
E113313,30.0,
E113319,30.0,
E113391,30.0,
E113392,30.0,
E113393,30.0,
E113399,30.0,
E113411,30.0,
E113412,30.0,
E113413,30.0,
E113419,30.0,
E113491,30.0,
E113492,30.0,
E113493,30.0,
E113499,30.0,
E113511,30.0,
E113512,30.0,
E113513,30.0,
E113519,30.0,
E113521,30.0,
E113522,30.0,
E113523,30.0,
E113529,30.0,
E113531,30.0,
E113532,30.0,
E113533,30.0,
E113539,30.0,
E113541,30.0,
E113542,30.0,
E113543,30.0,
E113549,30.0,
E113551,30.0,
E113552,30.0,
E113553,30.0,
E113559,30.0,
E113591,30.0,
E113592,30.0,
E113593,30.0,
E113599,30.0,
E1136,30.0,
E1137X1,30.0,
E1137X2,30.0,
E1137X3,30.0,
E1137X9,30.0,
E1139,30.0,
E1140,30.0,
E1141,30.0,
E1142,30.0,
E1143,30.0,
E1144,30.0,
E1149,30.0,
E1151,30.0,
E1152,30.0,
E1159,30.0,
E11610,30.0,
E11618,30.0,
E11620,30.0,
E11621,30.0,
E11621,311.0,
E11622,30.0,
E11622,311.0,
E11628,30.0,
E11630,30.0,
E11638,30.0,
E11641,30.0,
E11649,30.0,
E1165,30.0,
E1169,30.0,
E118,30.0,
E119,31.0,
E1300,30.0,
E1301,30.0,
E1310,30.0,
E1311,30.0,
E1321,30.0,
E1322,30.0,
E1329,30.0,
E13311,30.0,
E13319,30.0,
E133211,30.0,
E133212,30.0,
E133213,30.0,
E133219,30.0,
E133291,30.0,
E133292,30.0,
E133293,30.0,
E133299,30.0,
E133311,30.0,
E133312,30.0,
E133313,30.0,
E133319,30.0,
E133391,30.0,
E133392,30.0,
E133393,30.0,
E133399,30.0,
E133411,30.0,
E133412,30.0,
E133413,30.0,
E133419,30.0,
E133491,30.0,
E133492,30.0,
E133493,30.0,
E133499,30.0,
E133511,30.0,
E133512,30.0,
E133513,30.0,
E133519,30.0,
E133521,30.0,
E133522,30.0,
E133523,30.0,
E133529,30.0,
E133531,30.0,
E133532,30.0,
E133533,30.0,
E133539,30.0,
E133541,30.0,
E133542,30.0,
E133543,30.0,
E133549,30.0,
E133551,30.0,
E133552,30.0,
E133553,30.0,
E133559,30.0,
E133591,30.0,
E133592,30.0,
E133593,30.0,
E133599,30.0,
E1336,30.0,
E1337X1,30.0,
E1337X2,30.0,
E1337X3,30.0,
E1337X9,30.0,
E1339,30.0,
E1340,30.0,
E1341,30.0,
E1342,30.0,
E1343,30.0,
E1344,30.0,
E1349,30.0,
E1351,30.0,
E1352,30.0,
E1359,30.0,
E13610,30.0,
E13618,30.0,
E13620,30.0,
E13621,30.0,
E13621,311.0,
E13622,30.0,
E13622,311.0,
E13628,30.0,
E13630,30.0,
E13638,30.0,
E13641,30.0,
E13649,30.0,
E1365,30.0,
E1369,30.0,
E138,30.0,
E139,31.0,
E163,66.0,
E164,66.0,
E168,66.0,
E169,66.0,
E200,43.0,
E20810,43.0,
E20811,43.0,
E20812,43.0,
E20818,43.0,
E20819,43.0,
E2089,43.0,
E209,43.0,
E210,43.0,
E211,43.0,
E212,43.0,
E213,43.0,
E214,43.0,
E215,43.0,
E220,42.0,
E221,43.0,
E222,43.0,
E228,43.0,
E229,43.0,
E230,43.0,
E231,43.0,
E232,43.0,
E233,43.0,
E236,43.0,
E237,43.0,
E240,42.0,
E241,43.0,
E242,43.0,
E243,43.0,
E244,43.0,
E248,43.0,
E249,43.0,
E250,43.0,
E258,43.0,
E259,43.0,
E2601,43.0,
E2602,43.0,
E2609,43.0,
E261,43.0,
E2681,43.0,
E2689,43.0,
E269,43.0,
E270,43.0,
E271,43.0,
E272,43.0,
E273,43.0,
E2740,43.0,
E2749,43.0,
E275,43.0,
E278,43.0,
E279,43.0,
E310,43.0,
E311,43.0,
E3120,43.0,
E3121,43.0,
E3122,43.0,
E3123,43.0,
E318,43.0,
E319,43.0,
E320,43.0,
E321,43.0,
E328,43.0,
E329,43.0,
E3400,22.0,
E3401,22.0,
E3409,22.0,
E344,43.0,
E550,87.0,
E700,42.0,
E701,42.0,
E7020,43.0,
E7021,43.0,
E7029,43.0,
E7030,43.0,
E70310,43.0,
E70311,43.0,
E70318,43.0,
E70319,43.0,
E70320,43.0,
E70321,43.0,
E70328,43.0,
E70329,43.0,
E70330,43.0,
E70331,43.0,
E70338,43.0,
E70339,43.0,
E7039,43.0,
E7040,43.0,
E7041,43.0,
E7049,43.0,
E705,43.0,
E7081,43.0,
E7089,43.0,
E709,43.0,
E710,43.0,
E71110,43.0,
E71111,43.0,
E71118,43.0,
E71120,43.0,
E71121,43.0,
E71128,43.0,
E7119,43.0,
E712,43.0,
E7130,47.0,
E71310,43.0,
E71311,43.0,
E71312,43.0,
E71313,43.0,
E71314,43.0,
E71318,43.0,
E7132,43.0,
E7139,43.0,
E7140,43.0,
E7141,43.0,
E7142,43.0,
E7143,43.0,
E71440,43.0,
E71448,43.0,
E7150,43.0,
E71510,43.0,
E71511,43.0,
E71518,43.0,
E71520,43.0,
E71521,43.0,
E71522,43.0,
E71528,43.0,
E71529,43.0,
E7153,43.0,
E71540,43.0,
E71541,43.0,
E71542,43.0,
E71548,43.0,
E7200,43.0,
E7201,42.0,
E7202,43.0,
E7203,43.0,
E7204,41.0,
E7209,43.0,
E7210,43.0,
E7211,43.0,
E7212,43.0,
E7219,43.0,
E7220,43.0,
E7221,43.0,
E7222,43.0,
E7223,43.0,
E7229,43.0,
E723,43.0,
E724,43.0,
E7250,43.0,
E7251,43.0,
E7252,43.0,
E7253,43.0,
E72530,43.0,
E72538,43.0,
E72539,43.0,
E7259,43.0,
E7281,43.0,
E7289,43.0,
E729,43.0,
E7400,43.0,
E7401,43.0,
E7402,41.0,
E7403,43.0,
E7404,43.0,
E7405,43.0,
E7409,43.0,
E7420,43.0,
E7421,43.0,
E7429,43.0,
E7431,42.0,
E744,43.0,
E74810,43.0,
E74818,43.0,
E74819,43.0,
E74820,43.0,
E74829,43.0,
E7489,43.0,
E749,43.0,
E7500,41.0,
E7501,41.0,
E7502,41.0,
E7509,41.0,
E7510,41.0,
E7511,41.0,
E7519,41.0,
E7521,41.0,
E7522,41.0,
E7523,41.0,
E75240,41.0,
E75241,41.0,
E75242,41.0,
E75243,41.0,
E75244,41.0,
E75248,41.0,
E75249,41.0,
E7525,41.0,
E7526,41.0,
E7527,41.0,
E7528,41.0,
E7529,41.0,
E753,41.0,
E754,41.0,
E755,43.0,
E756,43.0,
E7601,41.0,
E7602,41.0,
E7603,41.0,
E761,41.0,
E76210,41.0,
E76211,41.0,
E76219,41.0,
E7622,41.0,
E7629,41.0,
E763,41.0,
E768,43.0,
E769,43.0,
E770,41.0,
E771,41.0,
E778,43.0,
E779,43.0,
E7800,47.0,
E7801,47.0,
E78010,47.0,
E78011,47.0,
E78019,47.0,
E781,47.0,
E782,47.0,
E783,47.0,
E7841,47.0,
E7849,47.0,
E785,47.0,
E786,47.0,
E7870,47.0,
E7879,47.0,
E7881,47.0,
E7889,47.0,
E789,47.0,
E791,43.0,
E792,43.0,
E7981,43.0,
E7982,43.0,
E7989,43.0,
E799,43.0,
E800,43.0,
E801,43.0,
E8020,43.0,
E8021,43.0,
E8029,43.0,
E803,43.0,
E8300,42.0,
E8301,42.0,
E8309,42.0,
E8310,43.0,
E83110,43.0,
E83118,43.0,
E83119,43.0,
E8319,43.0,
E8330,43.0,
E8331,42.0,
E8332,43.0,
E8339,43.0,
E83820,43.0,
E83821,43.0,
E83822,43.0,
E83823,43.0,
E83824,43.0,
E83825,43.0,
E840,225.0,
E8411,225.0,age = 0
E8419,225.0,
E848,225.0,
E849,225.0,
E8801,40.0,
E882,47.0,
E8840,43.0,
E8841,43.0,
E8842,43.0,
E8843,43.0,
E8849,43.0,
E8889,43.0,
E890,44.0,
E892,43.0,
E893,43.0,
E896,43.0,
F0150,112.0,age >= 15
F01511,112.0,age >= 15
F01518,112.0,age >= 15
F0152,112.0,age >= 15
F0153,112.0,age >= 15
F0154,112.0,age >= 15
F01A0,112.0,age >= 15
F01A11,112.0,age >= 15
F01A18,112.0,age >= 15
F01A2,112.0,age >= 15
F01A3,112.0,age >= 15
F01A4,112.0,age >= 15
F01B0,112.0,age >= 15
F01B11,112.0,age >= 15
F01B18,112.0,age >= 15
F01B2,112.0,age >= 15
F01B3,112.0,age >= 15
F01B4,112.0,age >= 15
F01C0,112.0,age >= 15
F01C11,112.0,age >= 15
F01C18,112.0,age >= 15
F01C2,112.0,age >= 15
F01C3,112.0,age >= 15
F01C4,112.0,age >= 15
F0280,112.0,
F02811,112.0,
F02818,112.0,
F0282,112.0,
F0283,112.0,
F0284,112.0,
F02A0,112.0,
F02A11,112.0,
F02A18,112.0,
F02A2,112.0,
F02A3,112.0,
F02A4,112.0,
F02B0,112.0,
F02B11,112.0,
F02B18,112.0,
F02B2,112.0,
F02B3,112.0,
F02B4,112.0,
F02C0,112.0,
F02C11,112.0,
F02C18,112.0,
F02C2,112.0,
F02C3,112.0,
F02C4,112.0,
F0390,112.0,age >= 15
F03911,112.0,age >= 15
F03918,112.0,age >= 15
F0392,112.0,age >= 15
F0393,112.0,age >= 15
F0394,112.0,age >= 15
F03A0,112.0,age >= 15
F03A11,112.0,age >= 15
F03A18,112.0,age >= 15
F03A2,112.0,age >= 15
F03A3,112.0,age >= 15
F03A4,112.0,age >= 15
F03B0,112.0,age >= 15
F03B11,112.0,age >= 15
F03B18,112.0,age >= 15
F03B2,112.0,age >= 15
F03B3,112.0,age >= 15
F03B4,112.0,age >= 15
F03C0,112.0,age >= 15
F03C11,112.0,age >= 15
F03C18,112.0,age >= 15
F03C2,112.0,age >= 15
F03C3,112.0,age >= 15
F03C4,112.0,age >= 15
F04,112.0,
F200,130.0,
F201,130.0,
F202,130.0,
F203,130.0,
F205,130.0,
F2081,130.0,
F2089,130.0,
F209,130.0,
F21,133.0,
F22,133.0,
F23,130.0,
F24,133.0,
F250,130.0,
F251,130.0,
F258,130.0,
F259,130.0,
F28,130.0,
F29,130.0,
F3010,131.0,
F3011,131.0,
F3012,131.0,
F3013,131.0,
F302,131.0,
F303,131.0,
F304,131.0,
F308,131.0,
F309,131.0,
F310,131.0,
F3110,131.0,
F3111,131.0,
F3112,131.0,
F3113,131.0,
F312,131.0,
F3130,131.0,
F3131,131.0,
F3132,131.0,
F314,131.0,
F315,131.0,
F3160,131.0,
F3161,131.0,
F3162,131.0,
F3163,131.0,
F3164,131.0,
F3170,131.0,
F3171,131.0,
F3172,131.0,
F3173,131.0,
F3174,131.0,
F3175,131.0,
F3176,131.0,
F3177,131.0,
F3178,131.0,
F3181,131.0,
F3189,131.0,
F319,131.0,
F320,132.0,
F321,132.0,
F322,132.0,
F323,132.0,
F324,132.0,
F325,132.0,
F3281,132.0,
F3289,132.0,
F329,132.0,
F32A,132.0,
F330,132.0,
F331,132.0,
F332,132.0,
F333,132.0,
F3340,132.0,
F3341,132.0,
F3342,132.0,
F338,132.0,
F339,132.0,
F340,132.0,
F341,132.0,
F3481,133.0,
F3489,132.0,
F349,132.0,
F39,132.0,
F4000,133.0,
F4001,133.0,
F4002,133.0,
F4010,133.0,
F4011,133.0,
F40210,133.0,
F40218,133.0,
F40220,133.0,
F40228,133.0,
F40230,133.0,
F40231,133.0,
F40232,133.0,
F40233,133.0,
F40240,133.0,
F40241,133.0,
F40242,133.0,
F40243,133.0,
F40248,133.0,
F40290,133.0,
F40291,133.0,
F40298,133.0,
F408,133.0,
F409,133.0,
F410,133.0,
F411,133.0,
F422,133.0,
F423,133.0,
F424,133.0,
F428,133.0,
F429,133.0,
F4310,133.0,
F4311,133.0,
F4312,133.0,
F4320,133.0,
F4321,133.0,
F4322,133.0,
F4323,133.0,
F4324,133.0,
F4325,133.0,
F4329,133.0,
F440,133.0,
F441,133.0,
F442,133.0,
F444,133.0,
F445,133.0,
F446,133.0,
F447,133.0,
F4481,133.0,
F4489,133.0,
F449,133.0,
F450,133.0,
F451,133.0,
F4520,133.0,
F4521,133.0,
F4522,133.0,
F4529,133.0,
F458,133.0,
F459,133.0,
F481,133.0,
F5000,133.0,
F50010,133.0,
F50011,133.0,
F50012,133.0,
F50013,133.0,
F50014,133.0,
F50019,133.0,
F50020,133.0,
F50021,133.0,
F50022,133.0,
F50023,133.0,
F50024,133.0,
F50029,133.0,
F5020,133.0,
F5021,133.0,
F5022,133.0,
F5023,133.0,
F5024,133.0,
F5025,133.0,
F50810,133.0,
F50811,133.0,
F50812,133.0,
F50813,133.0,
F50814,133.0,
F50819,133.0,
F5082,133.0,
F5083,133.0,age >= 15
F5084,133.0,age >= 15
F5089,133.0,
F509,133.0,
F530,132.0,9 <= age <= 64
F531,132.0,9 <= age <= 64
F600,133.0,
F601,133.0,
F602,133.0,
F603,133.0,
F604,133.0,
F605,133.0,
F606,133.0,
F607,133.0,
F6081,133.0,
F6089,133.0,
F609,133.0,
F630,133.0,
F631,133.0,
F632,133.0,
F633,133.0,
F6381,133.0,
F6389,133.0,
F639,133.0,
F6810,133.0,
F6811,133.0,
F6812,133.0,
F6813,133.0,
F68A,133.0,
F70,148.0,
F71,147.0,
F72,146.0,
F73,146.0,
F78A1,147.0,
F78A9,148.0,
F79,148.0,
F840,133.0,
F842,133.0,
F843,133.0,0 <= age <= 17
F845,133.0,
F848,133.0,
F849,133.0,
F900,133.0,
F901,133.0,
F902,133.0,
F908,133.0,
F909,133.0,
F910,133.0,
F911,133.0,
F912,133.0,
F913,133.0,
F918,133.0,
F919,133.0,
F930,133.0,
F950,133.0,
F951,133.0,
F952,133.0,
F958,133.0,
F959,133.0,
F9821,133.0,
F9829,133.0,
F983,133.0,
F984,133.0,
G041,155.0,
G0482,155.0,
G0489,155.0,
G0491,155.0,
G054,155.0,
G10,160.0,
G120,155.0,
G121,155.0,
G1220,154.0,
G1221,154.0,age >= 15
G1222,154.0,
G1223,154.0,
G1224,154.0,
G1225,154.0,
G1229,154.0,
G128,155.0,
G129,155.0,
G130,158.0,
G131,158.0,
G132,112.0,
G138,112.0,
G20A1,161.0,
G20A2,161.0,
G20B1,161.0,
G20B2,161.0,
G20C,161.0,
G2111,161.0,
G2119,161.0,
G212,161.0,
G213,161.0,
G214,161.0,
G218,161.0,
G219,161.0,
G230,161.0,
G231,161.0,
G232,161.0,
G233,161.0,
G238,161.0,
G239,161.0,
G300,111.0,
G301,111.0,age >= 15
G308,111.0,
G309,111.0,
G3101,112.0,
G3109,112.0,
G311,112.0,
G312,112.0,
G3181,112.0,
G3182,112.0,
G3183,112.0,
G3185,112.0,
G3186,112.0,
G3187,112.0,
G3189,112.0,
G319,112.0,
G320,155.0,
G35,159.0,
G35A,159.0,
G35B0,159.0,
G35B1,159.0,
G35B2,159.0,
G35C0,159.0,
G35C1,159.0,
G35C2,159.0,
G35D,159.0,
G360,159.0,
G370,159.0,
G373,155.0,
G374,155.0,
G375,159.0,
G40001,164.0,
G40009,164.0,
G40011,163.0,
G40019,163.0,
G40101,164.0,
G40109,164.0,
G40111,163.0,
G40119,163.0,
G40201,164.0,
G40209,164.0,
G40211,163.0,
G40219,163.0,
G40301,164.0,
G40309,164.0,
G40311,163.0,
G40319,163.0,
G40401,164.0,
G40409,164.0,
G40411,163.0,
G40419,163.0,
G4042,163.0,
G40501,164.0,
G40509,164.0,
G40801,164.0,
G40802,164.0,
G40803,163.0,
G40804,163.0,
G40811,164.0,
G40812,164.0,
G40813,163.0,
G40814,163.0,
G40821,164.0,
G40822,164.0,
G40823,163.0,
G40824,163.0,
G40833,163.0,
G40834,163.0,
G40841,164.0,
G40842,164.0,
G40843,163.0,
G40844,163.0,
G4089,164.0,
G40901,164.0,
G40909,164.0,
G40911,163.0,
G40919,163.0,
G40A01,164.0,
G40A09,164.0,
G40A11,163.0,
G40A19,163.0,
G40B01,164.0,
G40B09,164.0,
G40B11,163.0,
G40B19,163.0,
G40C01,164.0,
G40C09,164.0,
G40C11,163.0,
G40C19,163.0,
G43001,166.0,
G43009,166.0,
G43011,166.0,
G43019,166.0,
G43101,166.0,
G43109,166.0,
G43111,166.0,
G43119,166.0,
G43401,166.0,
G43409,166.0,
G43411,166.0,
G43419,166.0,
G43501,166.0,
G43509,166.0,
G43511,166.0,
G43519,166.0,
G43601,166.0,
G43609,166.0,
G43611,166.0,
G43619,166.0,
G43701,166.0,
G43709,166.0,
G43711,166.0,
G43719,166.0,
G43801,166.0,
G43809,166.0,
G43811,166.0,
G43819,166.0,
G43821,166.0,
G43829,166.0,
G43831,166.0,
G43839,166.0,
G43901,166.0,
G43909,166.0,
G43911,166.0,
G43919,166.0,
G43A0,166.0,
G43A1,166.0,
G43B0,166.0,
G43B1,166.0,
G43C0,166.0,
G43C1,166.0,
G43D0,166.0,
G43D1,166.0,
G43E01,166.0,
G43E09,166.0,
G43E11,166.0,
G43E19,166.0,
G47411,355.0,
G47419,355.0,
G47421,355.0,
G47429,355.0,
G500,168.0,
G501,168.0,
G508,168.0,
G509,168.0,
G610,158.0,
G611,158.0,
G6181,157.0,
G6182,157.0,
G6189,158.0,
G619,158.0,
G620,158.0,
G621,158.0,
G622,158.0,
G6281,158.0,
G6282,158.0,
G63,158.0,
G650,158.0,
G651,158.0,
G652,158.0,
G7000,153.0,
G7001,153.0,
G701,153.0,
G702,153.0,
G7080,153.0,
G7081,153.0,
G7089,153.0,
G709,153.0,
G731,153.0,
G733,153.0,
G8110,207.0,
G8111,207.0,
G8112,207.0,
G8113,207.0,
G8114,207.0,
G834,155.0,
G901,155.0,
G903,161.0,
G9345,164.0,
G937,112.0,0 <= age <= 17
G950,155.0,
G9511,155.0,
G9519,155.0,
G9520,155.0,
G9529,155.0,
G9581,155.0,
G9589,155.0,
G959,155.0,
G992,155.0,
H01121,317.0,
H01122,317.0,
H01123,317.0,
H01124,317.0,
H01125,317.0,
H01126,317.0,
H01129,317.0,
H4010X0,243.0,
H4010X0,244.0,
H4010X1,243.0,
H4010X1,244.0,
H4010X2,243.0,
H4010X3,243.0,
H4010X4,243.0,
H4010X4,244.0,
H401110,243.0,
H401110,244.0,
H401111,243.0,
H401111,244.0,
H401112,243.0,
H401113,243.0,
H401114,243.0,
H401114,244.0,
H401120,243.0,
H401120,244.0,
H401121,243.0,
H401121,244.0,
H401122,243.0,
H401123,243.0,
H401124,243.0,
H401124,244.0,
H401130,243.0,
H401130,244.0,
H401131,243.0,
H401131,244.0,
H401132,243.0,
H401133,243.0,
H401134,243.0,
H401134,244.0,
H401190,243.0,
H401190,244.0,
H401191,243.0,
H401191,244.0,
H401192,243.0,
H401193,243.0,
H401194,243.0,
H401194,244.0,
H401210,243.0,
H401210,244.0,
H401211,243.0,
H401211,244.0,
H401212,243.0,
H401213,243.0,
H401214,243.0,
H401214,244.0,
H401220,243.0,
H401220,244.0,
H401221,243.0,
H401221,244.0,
H401222,243.0,
H401223,243.0,
H401224,243.0,
H401224,244.0,
H401230,243.0,
H401230,244.0,
H401231,243.0,
H401231,244.0,
H401232,243.0,
H401233,243.0,
H401234,243.0,
H401234,244.0,
H401290,243.0,
H401290,244.0,
H401291,243.0,
H401291,244.0,
H401292,243.0,
H401293,243.0,
H401294,243.0,
H401294,244.0,
H401310,243.0,
H401310,244.0,
H401311,243.0,
H401311,244.0,
H401312,243.0,
H401313,243.0,
H401314,243.0,
H401314,244.0,
H401320,243.0,
H401320,244.0,
H401321,243.0,
H401321,244.0,
H401322,243.0,
H401323,243.0,
H401324,243.0,
H401324,244.0,
H401330,243.0,
H401330,244.0,
H401331,243.0,
H401331,244.0,
H401332,243.0,
H401333,243.0,
H401334,243.0,
H401334,244.0,
H401390,243.0,
H401390,244.0,
H401391,243.0,
H401391,244.0,
H401392,243.0,
H401393,243.0,
H401394,243.0,
H401394,244.0,
H401410,243.0,
H401410,244.0,
H401411,243.0,
H401411,244.0,
H401412,243.0,
H401413,243.0,
H401414,243.0,
H401414,244.0,
H401420,243.0,
H401420,244.0,
H401421,243.0,
H401421,244.0,
H401422,243.0,
H401423,243.0,
H401424,243.0,
H401424,244.0,
H401430,243.0,
H401430,244.0,
H401431,243.0,
H401431,244.0,
H401432,243.0,
H401433,243.0,
H401434,243.0,
H401434,244.0,
H401490,243.0,
H401490,244.0,
H401491,243.0,
H401491,244.0,
H401492,243.0,
H401493,243.0,
H401494,243.0,
H401494,244.0,
H40151,243.0,
H40152,243.0,
H40153,243.0,
H40159,243.0,
H4020X0,244.0,
H4020X1,244.0,
H4020X2,243.0,
H4020X2,244.0,
H4020X3,243.0,
H4020X3,244.0,
H4020X4,244.0,
H402210,244.0,
H402211,244.0,
H402212,243.0,
H402212,244.0,
H402213,243.0,
H402213,244.0,
H402214,244.0,
H402220,244.0,
H402221,244.0,
H402222,243.0,
H402222,244.0,
H402223,243.0,
H402223,244.0,
H402224,244.0,
H402230,244.0,
H402231,244.0,
H402232,243.0,
H402232,244.0,
H402233,243.0,
H402233,244.0,
H402234,244.0,
H402290,244.0,
H402291,244.0,
H402292,243.0,
H402292,244.0,
H402293,243.0,
H402293,244.0,
H402294,244.0,
H40231,244.0,
H40232,244.0,
H40233,244.0,
H40239,244.0,
H40241,244.0,
H40242,244.0,
H40243,244.0,
H40249,244.0,
H4030X0,244.0,
H4030X1,244.0,
H4030X2,243.0,
H4030X2,244.0,
H4030X3,243.0,
H4030X3,244.0,
H4030X4,244.0,
H4031X0,244.0,
H4031X1,244.0,
H4031X2,243.0,
H4031X2,244.0,
H4031X3,243.0,
H4031X3,244.0,
H4031X4,244.0,
H4032X0,244.0,
H4032X1,244.0,
H4032X2,243.0,
H4032X2,244.0,
H4032X3,243.0,
H4032X3,244.0,
H4032X4,244.0,
H4033X0,244.0,
H4033X1,244.0,
H4033X2,243.0,
H4033X2,244.0,
H4033X3,243.0,
H4033X3,244.0,
H4033X4,244.0,
H4040X0,244.0,
H4040X1,244.0,
H4040X2,243.0,
H4040X2,244.0,
H4040X3,243.0,
H4040X3,244.0,
H4040X4,244.0,
H4041X0,244.0,
H4041X1,244.0,
H4041X2,243.0,
H4041X2,244.0,
H4041X3,243.0,
H4041X3,244.0,
H4041X4,244.0,
H4042X0,244.0,
H4042X1,244.0,
H4042X2,243.0,
H4042X2,244.0,
H4042X3,243.0,
H4042X3,244.0,
H4042X4,244.0,
H4043X0,244.0,
H4043X1,244.0,
H4043X2,243.0,
H4043X2,244.0,
H4043X3,243.0,
H4043X3,244.0,
H4043X4,244.0,
H4050X0,244.0,
H4050X1,244.0,
H4050X2,243.0,
H4050X2,244.0,
H4050X3,243.0,
H4050X3,244.0,
H4050X4,244.0,
H4051X0,244.0,
H4051X1,244.0,
H4051X2,243.0,
H4051X2,244.0,
H4051X3,243.0,
H4051X3,244.0,
H4051X4,244.0,
H4052X0,244.0,
H4052X1,244.0,
H4052X2,243.0,
H4052X2,244.0,
H4052X3,243.0,
H4052X3,244.0,
H4052X4,244.0,
H4053X0,244.0,
H4053X1,244.0,
H4053X2,243.0,
H4053X2,244.0,
H4053X3,243.0,
H4053X3,244.0,
H4053X4,244.0,
H4060X0,244.0,
H4060X1,244.0,
H4060X2,243.0,
H4060X2,244.0,
H4060X3,243.0,
H4060X3,244.0,
H4060X4,244.0,
H4061X0,244.0,
H4061X1,244.0,
H4061X2,243.0,
H4061X2,244.0,
H4061X3,243.0,
H4061X3,244.0,
H4061X4,244.0,
H4062X0,244.0,
H4062X1,244.0,
H4062X2,243.0,
H4062X2,244.0,
H4062X3,243.0,
H4062X3,244.0,
H4062X4,244.0,
H4063X0,244.0,
H4063X1,244.0,
H4063X2,243.0,
H4063X2,244.0,
H4063X3,243.0,
H4063X3,244.0,
H4063X4,244.0,
H40811,244.0,
H40812,244.0,
H40813,244.0,
H40819,244.0,
H40821,244.0,
H40822,244.0,
H40823,244.0,
H40829,244.0,
H40831,244.0,
H40832,244.0,
H40833,244.0,
H40839,244.0,
H40841,243.0,
H40842,243.0,
H40843,243.0,
H40849,243.0,
H4089,244.0,
H409,244.0,
H42,244.0,
H49811,43.0,
H49812,43.0,
H49813,43.0,
H49819,43.0,
I0981,186.0,
I10,187.0,
I110,186.0,
I119,187.0,
I120,187.0,
I120,262.0,
I129,187.0,
I130,186.0,
I1310,187.0,
I1311,187.0,
I1311,262.0,
I132,186.0,
I132,262.0,
I150,187.0,
I151,187.0,
I152,187.0,
I158,187.0,
I159,187.0,
I160,187.0,
I161,187.0,
I169,187.0,
I1A0,187.0,
I200,188.0,
I201,188.0,
I202,188.0,
I2081,188.0,
I2089,188.0,
I209,188.0,
I2101,188.0,
I2102,188.0,
I2109,188.0,
I2111,188.0,
I2119,188.0,
I2121,188.0,
I2129,188.0,
I213,188.0,
I214,188.0,
I219,188.0,
I21A1,188.0,
I21A9,188.0,
I21B,188.0,
I220,188.0,
I221,188.0,
I222,188.0,
I228,188.0,
I229,188.0,
I230,188.0,age >= 15
I231,188.0,age >= 15
I232,188.0,age >= 15
I233,188.0,age >= 15
I234,188.0,
I235,188.0,
I236,188.0,age >= 15
I237,188.0,age >= 15
I238,188.0,age >= 15
I240,188.0,
I241,188.0,
I2481,188.0,
I2489,188.0,
I249,188.0,
I2510,188.0,age >= 15
I25110,188.0,age >= 15
I25111,188.0,age >= 15
I25112,188.0,age >= 15
I25118,188.0,age >= 15
I25119,188.0,age >= 15
I252,188.0,
I253,188.0,
I2541,188.0,
I2542,188.0,
I255,188.0,
I256,188.0,
I25700,188.0,age >= 15
I25701,188.0,age >= 15
I25702,188.0,age >= 15
I25708,188.0,age >= 15
I25709,188.0,age >= 15
I25710,188.0,age >= 15
I25711,188.0,age >= 15
I25712,188.0,age >= 15
I25718,188.0,age >= 15
I25719,188.0,age >= 15
I25720,188.0,age >= 15
I25721,188.0,age >= 15
I25722,188.0,age >= 15
I25728,188.0,age >= 15
I25729,188.0,age >= 15
I25730,188.0,age >= 15
I25731,188.0,age >= 15
I25732,188.0,age >= 15
I25738,188.0,age >= 15
I25739,188.0,age >= 15
I25750,188.0,
I25751,188.0,
I25752,188.0,age >= 15
I25758,188.0,
I25759,188.0,
I25760,188.0,age >= 15
I25761,188.0,age >= 15
I25762,188.0,age >= 15
I25768,188.0,age >= 15
I25769,188.0,age >= 15
I25790,188.0,age >= 15
I25791,188.0,age >= 15
I25792,188.0,age >= 15
I25798,188.0,age >= 15
I25799,188.0,age >= 15
I25810,188.0,age >= 15
I25811,188.0,
I25812,188.0,age >= 15
