ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C4339,23.0,,,
C434,23.0,,,
C4351,23.0,,,
C4352,23.0,,,
C4359,23.0,,,
C4360,23.0,,,
C4361,23.0,,,
C4362,23.0,,,
C4370,23.0,,,
C4371,23.0,,,
C4372,23.0,,,
C438,23.0,,,
C439,23.0,,,
C450,19.0,,,
C451,19.0,,,
C452,19.0,,,
C457,19.0,,,
C459,19.0,,,
C460,21.0,,,
C461,21.0,,,
C462,21.0,,,
C463,21.0,,,
C464,21.0,,,
C4650,21.0,,,
C4651,21.0,,,
C4652,21.0,,,
C467,21.0,,,
C469,21.0,,,
C470,21.0,,,
C4710,21.0,,,
C4711,21.0,,,
C4712,21.0,,,
C4720,21.0,,,
C4721,21.0,,,
C4722,21.0,,,
C473,21.0,,,
C474,23.0,,,
C475,21.0,,,
C476,21.0,,,
C478,21.0,,,
C479,21.0,,,
C480,20.0,,,
C481,20.0,,,
C482,20.0,,,
C488,20.0,,,
C490,21.0,,,
C4910,21.0,,,
C4911,21.0,,,
C4912,21.0,,,
C4920,21.0,,,
C4921,21.0,,,
C4922,21.0,,,
C493,21.0,,,
C494,23.0,,,
C495,21.0,,,
C496,21.0,,,
C498,21.0,,,
C499,21.0,,,
C49A0,23.0,,,
C49A1,23.0,,,
C49A2,23.0,,,
C49A3,23.0,,,
C49A4,23.0,,,
C49A5,23.0,,,
C49A9,23.0,,,
C4A0,21.0,,,
C4A10,21.0,,,
C4A111,21.0,,,
C4A112,21.0,,,
C4A121,21.0,,,
C4A122,21.0,,,
C4A20,21.0,,,
C4A21,21.0,,,
C4A22,21.0,,,
C4A30,21.0,,,
C4A31,21.0,,,
C4A39,21.0,,,
C4A4,21.0,,,
C4A51,21.0,,,
C4A52,21.0,,,
C4A59,21.0,,,
C4A60,21.0,,,
C4A61,21.0,,,
C4A62,21.0,,,
C4A70,21.0,,,
C4A71,21.0,,,
C4A72,21.0,,,
C4A8,21.0,,,
C4A9,21.0,,,
C50011,22.0,,age < 50,
C50011,23.0,,age >= 50,
C50012,22.0,,age < 50,
C50012,23.0,,age >= 50,
C50019,22.0,,age < 50,
C50019,23.0,,age >= 50,
C50021,22.0,,age < 50,
C50021,23.0,,age >= 50,
C50022,22.0,,age < 50,
C50022,23.0,,age >= 50,
C50029,22.0,,age < 50,
C50029,23.0,,age >= 50,
C50111,22.0,,age < 50,
C50111,23.0,,age >= 50,
C50112,22.0,,age < 50,
C50112,23.0,,age >= 50,
C50119,22.0,,age < 50,
C50119,23.0,,age >= 50,
C50121,22.0,,age < 50,
C50121,23.0,,age >= 50,
C50122,22.0,,age < 50,
C50122,23.0,,age >= 50,
C50129,22.0,,age < 50,
C50129,23.0,,age >= 50,
C50211,22.0,,age < 50,
C50211,23.0,,age >= 50,
C50212,22.0,,age < 50,
C50212,23.0,,age >= 50,
C50219,22.0,,age < 50,
C50219,23.0,,age >= 50,
C50221,22.0,,age < 50,
C50221,23.0,,age >= 50,
C50222,22.0,,age < 50,
C50222,23.0,,age >= 50,
C50229,22.0,,age < 50,
C50229,23.0,,age >= 50,
C50311,22.0,,age < 50,
C50311,23.0,,age >= 50,
C50312,22.0,,age < 50,
C50312,23.0,,age >= 50,
C50319,22.0,,age < 50,
C50319,23.0,,age >= 50,
C50321,22.0,,age < 50,
C50321,23.0,,age >= 50,
C50322,22.0,,age < 50,
C50322,23.0,,age >= 50,
C50329,22.0,,age < 50,
C50329,23.0,,age >= 50,
C50411,22.0,,age < 50,
C50411,23.0,,age >= 50,
C50412,22.0,,age < 50,
C50412,23.0,,age >= 50,
C50419,22.0,,age < 50,
C50419,23.0,,age >= 50,
C50421,22.0,,age < 50,
C50421,23.0,,age >= 50,
C50422,22.0,,age < 50,
C50422,23.0,,age >= 50,
C50429,22.0,,age < 50,
C50429,23.0,,age >= 50,
C50511,22.0,,age < 50,
C50511,23.0,,age >= 50,
C50512,22.0,,age < 50,
C50512,23.0,,age >= 50,
C50519,22.0,,age < 50,
C50519,23.0,,age >= 50,
C50521,22.0,,age < 50,
C50521,23.0,,age >= 50,
C50522,22.0,,age < 50,
C50522,23.0,,age >= 50,
C50529,22.0,,age < 50,
C50529,23.0,,age >= 50,
C50611,22.0,,age < 50,
C50611,23.0,,age >= 50,
C50612,22.0,,age < 50,
C50612,23.0,,age >= 50,
C50619,22.0,,age < 50,
C50619,23.0,,age >= 50,
C50621,22.0,,age < 50,
C50621,23.0,,age >= 50,
C50622,22.0,,age < 50,
C50622,23.0,,age >= 50,
C50629,22.0,,age < 50,
C50629,23.0,,age >= 50,
C50811,22.0,,age < 50,
C50811,23.0,,age >= 50,
C50812,22.0,,age < 50,
C50812,23.0,,age >= 50,
C50819,22.0,,age < 50,
C50819,23.0,,age >= 50,
C50821,22.0,,age < 50,
C50821,23.0,,age >= 50,
C50822,22.0,,age < 50,
C50822,23.0,,age >= 50,
C50829,22.0,,age < 50,
C50829,23.0,,age >= 50,
C50911,22.0,,age < 50,
C50911,23.0,,age >= 50,
C50912,22.0,,age < 50,
C50912,23.0,,age >= 50,
C50919,22.0,,age < 50,
C50919,23.0,,age >= 50,
C50921,22.0,,age < 50,
C50921,23.0,,age >= 50,
C50922,22.0,,age < 50,
C50922,23.0,,age >= 50,
C50929,22.0,,age < 50,
C50929,23.0,,age >= 50,
C50A0,22.0,,age < 50,
C50A0,23.0,,age >= 50,
C50A1,22.0,,age < 50,
C50A1,23.0,,age >= 50,
C50A2,22.0,,age < 50,
C50A2,23.0,,age >= 50,
C510,22.0,,,
C511,22.0,,,
C512,22.0,,,
C518,22.0,,,
C519,22.0,,,
C52,22.0,,,
C530,22.0,,,
C531,22.0,,,
C538,22.0,,,
C539,22.0,,,
C540,23.0,,,
C541,23.0,,,
C542,23.0,,,
C543,23.0,,,
C548,23.0,,,
C549,23.0,,,
C55,23.0,,,
C561,22.0,,,
C562,22.0,,,
C563,22.0,,,
C569,22.0,,,
C5700,22.0,,,
C5701,22.0,,,
C5702,22.0,,,
C5710,22.0,,,
C5711,22.0,,,
C5712,22.0,,,
C5720,22.0,,,
C5721,22.0,,,
C5722,22.0,,,
C573,22.0,,,
C574,22.0,,,
C577,22.0,,,
C578,22.0,,,
C579,22.0,,,
C58,22.0,9 <= age <= 64,,
C600,23.0,,,
C601,23.0,,,
C602,23.0,,,
C608,23.0,,,
C609,23.0,,,
C61,23.0,,,
C6200,23.0,,,
C6201,23.0,,,
C6202,23.0,,,
C6210,23.0,,,
C6211,23.0,,,
C6212,23.0,,,
C6290,23.0,,,
C6291,23.0,,,
C6292,23.0,,,
C6300,23.0,,,
C6301,23.0,,,
C6302,23.0,,,
C6310,23.0,,,
C6311,23.0,,,
C6312,23.0,,,
C632,23.0,,,
C637,23.0,,,
C638,23.0,,,
C639,23.0,,,
C641,22.0,,,
C642,22.0,,,
C649,22.0,,,
C651,22.0,,,
C652,22.0,,,
C659,22.0,,,
C661,22.0,,,
C662,22.0,,,
C669,22.0,,,
C670,22.0,,,
C671,22.0,,,
C672,22.0,,,
C673,22.0,,,
C674,22.0,,,
C675,22.0,,,
C676,22.0,,,
C677,22.0,,,
C678,22.0,,,
C679,22.0,,,
C680,22.0,,,
C681,22.0,,,
C688,22.0,,,
C689,22.0,,,
C6900,23.0,,,
C6901,23.0,,,
C6902,23.0,,,
C6910,23.0,,,
C6911,23.0,,,
C6912,23.0,,,
C6920,23.0,,,
C6921,23.0,,,
C6922,23.0,,,
C6930,23.0,,,
C6931,23.0,,,
C6932,23.0,,,
C6940,23.0,,,
C6941,23.0,,,
C6942,23.0,,,
C6950,23.0,,,
C6951,23.0,,,
C6952,23.0,,,
C6960,23.0,,,
C6961,23.0,,,
C6962,23.0,,,
C6980,23.0,,,
C6981,23.0,,,
C6982,23.0,,,
C6990,23.0,,,
C6991,23.0,,,
C6992,23.0,,,
C700,20.0,,,
C701,20.0,,,
C709,20.0,,,
C710,20.0,,,
C711,20.0,,,
C712,20.0,,,
C713,20.0,,,
C714,20.0,,,
C715,20.0,,,
C716,20.0,,,
C717,20.0,,,
C718,20.0,,,
C719,20.0,,,
C720,20.0,,,
C721,20.0,,,
C7220,20.0,,,
C7221,20.0,,,
C7222,20.0,,,
C7230,20.0,,,
C7231,20.0,,,
C7232,20.0,,,
C7240,20.0,,,
C7241,20.0,,,
C7242,20.0,,,
C7250,20.0,,,
C7259,20.0,,,
C729,20.0,,,
C73,23.0,,,
C7400,22.0,,age >= 18,
C7400,22.0,,age < 18,
C7401,22.0,,age >= 18,
C7401,22.0,,age < 18,
C7402,22.0,,age >= 18,
C7402,22.0,,age < 18,
C7410,22.0,,age >= 18,
C7410,22.0,,age < 18,
C7411,22.0,,age >= 18,
C7411,22.0,,age < 18,
C7412,22.0,,age >= 18,
C7412,22.0,,age < 18,
C7490,22.0,,age >= 18,
C7490,22.0,,age < 18,
C7491,22.0,,age >= 18,
C7491,22.0,,age < 18,
C7492,22.0,,age >= 18,
C7492,22.0,,age < 18,
C750,23.0,,,
C751,20.0,,,
C752,20.0,,,
C753,20.0,,,
C754,23.0,,,
C755,23.0,,,
C758,23.0,,,
C759,23.0,,,
C760,23.0,,,
C761,23.0,,,
C762,23.0,,,
C763,23.0,,,
C7640,23.0,,,
C7641,23.0,,,
C7642,23.0,,,
C7650,23.0,,,
C7651,23.0,,,
C7652,23.0,,,
C768,23.0,,,
C770,18.0,,,
C771,17.0,,,
C772,18.0,,,
C773,20.0,,,
C774,18.0,,,
C775,18.0,,,
C778,17.0,,,
C779,18.0,,,
C7800,17.0,,,
C7801,17.0,,,
C7802,17.0,,,
C781,17.0,,,
C782,17.0,,,
C7830,17.0,,,
C7839,17.0,,,
C784,17.0,,,
C785,17.0,,,
C786,17.0,,,
C787,17.0,,,
C7880,17.0,,,
C7889,17.0,,,
C7900,17.0,,,
C7901,17.0,,,
C7902,17.0,,,
C7910,18.0,,,
C7911,18.0,,,
C7919,18.0,,,
C792,18.0,,,
C7931,17.0,,,
C7932,17.0,,,
C7940,17.0,,,
C7949,17.0,,,
C7951,18.0,,,
C7952,18.0,,,
