Variable,Label,COMMUNITY_NA,COMMUNITY_PBA,COMMUNITY_FBA,COMMUNITY_ND,COMMUNITY_PBD,COMMUNITY_FBD,INSTITUTIONAL
F0_34, Female 0-34,,,,0.238,0.454,0.346,0.948
F35_44, Female 35-44,,,,0.288,0.42,0.332,0.81
F45_54, Female 45-54,,,,0.34,0.404,0.384,1.031
F55_59, Female 55-59,,,,0.385,0.424,0.421,0.949
F60_64, Female 60-64,,,,0.436,0.414,0.502,0.881
F65_69, Female 65-69,0.33,0.365,0.435,,,,1.188
F70_74, Female 70-74,0.395,0.423,0.506,,,,1.119
F75_79, Female 75-79,0.465,0.485,0.596,,,,0.965
F80_84, Female 80-84,0.524,0.544,0.665,,,,0.862
F85_89, Female 85-89,0.624,0.618,0.775,,,,0.75
F90_94, Female 90-94,0.737,0.738,0.869,,,,0.627
F95_GT, Female 95+,0.742,0.835,0.877,,,,0.481
M0_34, Male 0-34,,,,0.106,0.306,0.191,0.826
M35_44, Male 35-44,,,,0.154,0.261,0.204,0.719
M45_54, Male 45-54,,,,0.215,0.3,0.293,0.991
M55_59, Male 55-59,,,,0.283,0.353,0.41,0.989
M60_64, Male 60-64,,,,0.345,0.374,0.504,0.917
M65_69, Male 65-69,0.332,0.375,0.531,,,,1.275
M70_74, Male 70-74,0.396,0.417,0.626,,,,1.224
M75_79, Male 75-79,0.502,0.498,0.714,,,,1.319
M80_84, Male 80-84,0.571,0.565,0.789,,,,1.238
M85_89, Male 85-89,0.664,0.615,0.907,,,,1.135
M90_94, Male 90-94,0.8,0.712,0.993,,,,0.946
M95_GT, Male 95+,0.896,0.904,1.058,,,,0.825
OriginallyDisabled_Female, Originally Disabled Female,0.228,0.103,0.16,,,,
OriginallyDisabled_Male, Originally Disabled Male,0.135,0.075,0.158,,,,
ORIGDIS,Originally Disabled,,,,,,,0
LTIMCAID,LTI Medicaid months,,,,,,,0.13
HCC1,HIV/AIDS,0.301,0.196,0.397,0.213,0.109,0.237,1.322
HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",0.5,0.447,0.649,0.598,0.591,0.78,0.605
HCC6,Opportunistic Infections,0.381,0.518,0.588,0.763,0.685,0.833,0.728
HCC17,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic",4.209,3.946,3.896,3.995,4.103,4.235,1.952
HCC18,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid",2.341,2.166,2.277,2.486,2.403,2.537,1.11
HCC19,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",1.798,1.52,1.563,1.989,1.554,1.661,0.957
HCC20,Lung and Other Severe Cancers,1.136,1.214,1.166,0.978,1.067,1.173,0.672
HCC21,Lymphoma and Other Cancers,0.671,0.627,0.654,0.54,0.618,0.739,0.493
HCC22,"Bladder, Colorectal, and Other Cancers",0.363,0.41,0.382,0.366,0.351,0.409,0.314
HCC23,"Prostate, Breast, and Other Cancers and Tumors",0.186,0.203,0.196,0.233,0.237,0.218,0.197
HCC35,Pancreas Transplant Status,0.949,1.117,1.117,1.393,2.74,0.573,1.106
HCC36,Diabetes with Severe Acute Complications,0.166,0.166,0.186,0.191,0.21,0.235,0.28
